exam,section,topic,concept
DATA_SCIENCE_AND_MACHINE_LEARN,NATURAL_LANGUAGE_PROCESSING,TRANSFER_LEARNING,TRANSFER_LEARNING
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,CENTRAL_TENDENCIES,MEAN
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,CENTRAL_TENDENCIES,MEDIAN
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,FEATURE_SCALING,MIN_MAX_SCALING
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,FEATURE_SCALING,NORMALIZATION
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,HYPOTHESIS_TESTING,CHI_SQUARED_TEST
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,HYPOTHESIS_TESTING,CONFIDENCE_INTERVAL
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,HYPOTHESIS_TESTING,HYPOTHESIS_TESTING_BASICS
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,HYPOTHESIS_TESTING,T_TEST
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,HYPOTHESIS_TESTING,Z_TEST
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,PROBABILITY_DISTRIBUTIONS,BERNOULLI_DISTRIBUTION
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,PROBABILITY_DISTRIBUTIONS,BINOMIAL_DISTRIBUTION
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,PROBABILITY_DISTRIBUTIONS,CHI_SQUARED_DISTRIBUTION
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,PROBABILITY_DISTRIBUTIONS,GAUSSIAN_DISTRIBUTION
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,PROBABILITY_DISTRIBUTIONS,POISSON_DISTRIBUTION
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,PROBABILITY_DISTRIBUTIONS,T_DISTRIBUTION
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,RELATIONSHIP_WITH_VARIABLES,CO_VARIANCE
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,RELATIONSHIP_WITH_VARIABLES,CORRELATION
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,RELATIONSHIP_WITH_VARIABLES,MULTI_COLLINEARITY
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,SAMPLING,CROSS_VALIDATION_
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,SAMPLING,RANDOM_SAMPLING
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,VARIABILITY,PERCENTILES
DATA_SCIENCE_AND_MACHINE_LEARN,STATISTICS_FOR_ML,VARIABILITY,QUANTILES
